subtype_1,subtype_2,chi_square,p_value,p_adjusted,significant
Luminal A,Luminal B,5.474615675136125,0.019294602836903648,0.1929460283690365,False
Luminal A,Basal-like,0.0404176719071219,0.8406661490874339,1.0,False
Luminal A,HER2-enriched,6.581425289296993,0.01030483471170751,0.1030483471170751,False
Luminal A,Normal-like,1.5525436033235687,0.2127603286539959,1.0,False
Luminal B,Basal-like,2.294595755002499,0.12982500748057996,1.0,False
Luminal B,HER2-enriched,0.2229231234268319,0.6368216145600057,1.0,False
Luminal B,Normal-like,0.07609813092682642,0.7826564449651724,1.0,False
Basal-like,HER2-enriched,3.443013045149225,0.0635197541676324,0.635197541676324,False
Basal-like,Normal-like,0.8966430280225397,0.3436834363278204,1.0,False
HER2-enriched,Normal-like,0.10434873321626648,0.7466721092754265,1.0,False
