source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CAFs,Cancer Epithelial,LUM,ITGB1,2.9806516,0.0,6.377883,0.960593889026416,2.6961296938669403,0.14970875,0.96291065,0.017688151342452645,1.1017058736419318e-05
CAFs,Cancer Epithelial,LGALS1,ITGB1,2.243112,0.0,4.316475,0.568738187064318,0.8725289002496923,0.06960992,0.95527357,0.08854386870445928,0.001206110111821288
Myeloid,Cancer Epithelial,LGALS1,ITGB1,1.7801056,0.0,3.022381,0.31055701654335305,0.04560546373091601,0.04874063,0.9470115,0.5295821919714354,0.011714081907667259
PVL,Cancer Epithelial,LGALS1,ITGB1,1.7446957,0.0,2.923411,0.2908118786895366,0.1550918958109051,0.04714458,0.94616985,0.4141167935331162,0.013530540159274958
Endothelial,Cancer Epithelial,VWF,ITGB1,1.401577,0.0,1.9644014,0.8179469973145299,1.720857641349851,0.199337,0.9351001,0.017688151342452645,0.04636376780717
Endothelial,Cancer Epithelial,HSPG2,ITGB1,1.3590131,0.0,1.845436,0.7336484669265387,1.3964078334825494,0.18433118,0.9331784,0.017688151342452645,0.055588527598015774
CAFs,Cancer Epithelial,LGALS3BP,ITGB1,1.3503842,0.0,1.8213186,0.47814206848831114,0.7239377541708936,0.0861241,0.93276715,0.06493311531197306,0.05858468718242346
CAFs,Cancer Epithelial,CLEC11A,ITGB1,1.2119992,0.0,1.4345354,0.5230321441130705,1.0044044722955134,0.12681104,0.9248839,0.017688151342452645,0.10607299028805792
CAFs,Cancer Epithelial,VCAN,ITGB1,1.2007841,0.0,1.4031893,0.5239361303358556,0.9664535677293848,0.1214541,0.92411286,0.018778977605582177,0.11111427616940694
CAFs,Cancer Epithelial,SPON2,ITGB1,1.1643585,0.0,1.3013805,0.5087411466404113,1.0137958621928722,0.13564563,0.9214292,0.017688151342452645,0.1435599246660694
Endothelial,Cancer Epithelial,LGALS1,ITGB1,1.1595286,0.977,1.287881,-0.03548736859861992,-0.8159705841045781,0.020769099,0.9210509,1.0,0.1458545123998177
Endothelial,Cancer Epithelial,LAMC1,ITGA6_ITGB1,0.21879321,0.003,0.043966055,0.16051029457387386,0.1840180933221475,0.070597954,0.6830978,0.4338528019909748,0.16617515384511683
Endothelial,Cancer Epithelial,TGM2,ITGB1,1.1088656,0.0,1.1462789,0.6545977340473951,1.1622869780492018,0.18067531,0.91671085,0.017688151342452645,0.17965448771951575
PVL,Cancer Epithelial,LGALS3BP,ITGB1,1.1066585,0.0,1.1401101,0.2749300068484021,0.37130709917069593,0.053912014,0.9165046,0.2270396567949134,0.18091855043444138
