source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CAFs,Cancer Epithelial,LUM,ITGB1,2.9806516,0.0,6.377883,0.960593889026416,2.6961296938669403,0.14970875,0.96291065,0.017688151342452645,1.1017058736419318e-05
CAFs,PVL,LUM,ITGB1,2.9149418,0.0,5.7781096,0.9109784512889745,3.2355074079598927,0.1356302,0.96110624,0.017688151342452645,4.4035694250072776e-05
Endothelial,T-cells,HLA-B,CD3D,2.6691978,0.0,6.427697,1.382267038782607,2.42571447700149,0.15175858,0.96304935,0.015678847463002552,0.0001758824514354552
CAFs,CAFs,LUM,ITGB1,2.7946167,0.0,4.679827,0.8201245024057466,2.805457167989479,0.1098501,0.9569687,0.017688151342452645,0.00022251882261541518
Myeloid,T-cells,HLA-B,CD3D,2.4838676,0.0,5.7477646,1.2678072489260233,2.1469892818303142,0.1357053,0.9610077,0.017688151342452645,0.00027461291642359053
CAFs,CAFs,TIMP1,CD63,2.4713688,0.0,5.810779,0.5883772630977908,1.3608091712738284,0.077219106,0.9612115,0.0629429765981312,0.0003321585945333268
Cancer Epithelial,T-cells,CD59,CD2,2.3652103,0.0,4.842017,1.5016312528021303,2.489599923620293,0.22143656,0.9576648,0.01141598632682796,0.0005374440564114868
PVL,CAFs,TIMP1,CD63,2.3456879,0.0,5.052613,0.5090113975430823,1.3003061462460612,0.06714388,0.95851946,0.09533684507025332,0.0006167350533398242
T-cells,T-cells,HLA-B,CD3D,2.3238413,0.0,5.1606665,1.1689749023225415,2.2492526508984954,0.12184386,0.9589381,0.017688151342452645,0.0008871100203024468
CAFs,Endothelial,LUM,ITGB1,2.6922984,0.0,3.745903,0.742866780291174,2.4926354616618056,0.087928005,0.95214516,0.03769302221891731,0.000988048801179057
CAFs,Cancer Epithelial,LGALS1,ITGB1,2.243112,0.0,4.316475,0.568738187064318,0.8725289002496923,0.06960992,0.95527357,0.08854386870445928,0.001206110111821288
CAFs,Endothelial,COL1A2,CD36,2.3262284,0.0,3.5509639,0.9480512882209878,2.5739809563100016,0.30081606,0.9509127,0.003927341544570557,0.0013232204206786282
CAFs,PVL,LGALS1,ITGB1,2.1774025,0.0,3.9105556,0.5191227493268765,1.4119066143426446,0.06306383,0.95311564,0.11495268593656009,0.0014457090882083353
Endothelial,Myeloid,APP,CD74,2.8856976,0.0,3.4808917,0.9555180430859269,2.055414637616554,0.10445126,0.9504455,0.020082033470675484,0.0014457090882083353
CAFs,Endothelial,COL1A1,CD36,2.286247,0.0,3.4740179,0.9511370674572776,2.804451231090579,0.3183045,0.9503989,0.0035377780900134096,0.0015735702327378182
CAFs,T-cells,HLA-B,CD3D,2.1751487,0.0,4.615149,1.0771423700362528,1.9318042289734454,0.10896414,0.95668125,0.017688151342452645,0.0015735702327378182
CAFs,Myeloid,FN1,PLAUR,2.1741762,0.0,4.6442914,0.8924078424792077,2.353090958698284,0.15150739,0.9568115,0.017688151342452645,0.0017067973225369866
CAFs,T-cells,LGALS1,CD69,2.0884676,0.0,3.3611636,0.9419606215602502,2.282359851688384,0.12966132,0.9496147,0.017688151342452645,0.002789127968743034
CAFs,T-cells,LGALS1,PTPRC,2.086435,0.0,3.3486075,0.9664277084051838,2.2376092227886257,0.14343128,0.94952506,0.017688151342452645,0.0029650646925313637
PVL,T-cells,HLA-B,CD3D,2.0626287,0.0,4.20234,1.0076502758895403,1.8943197387330046,0.09921768,0.95469755,0.024789012040285194,0.0031463126599042797
CAFs,T-cells,LUM,ITGB1,2.5857818,0.0,2.7736597,0.6624392117754694,2.5799295197710577,0.065106414,0.9448149,0.10251338407219057,0.0031463126599042797
CAFs,CAFs,LGALS1,ITGB1,2.0570774,0.0,3.167251,0.4282688004436486,0.9818563743722308,0.05107688,0.94817394,0.21003506762368632,0.0033328657694948324
Endothelial,Endothelial,APP,CD74,2.3362505,0.0,2.72897,0.6967237860211075,1.3251972662395963,0.081888326,0.94438994,0.04927349250024212,0.0035247179199360745
CAFs,Myeloid,TIMP1,CD63,2.0409026,0.0,4.152195,0.3259674964625446,0.6699511439071997,0.055178277,0.95443726,0.17045117899972453,0.0035247179199360745
Endothelial,T-cells,CD59,CD2,2.0408106,0.0,3.8701708,1.3038127695793935,2.4171932501577036,0.1769918,0.9528832,0.017016083761390802,0.0037218636823130925
Cancer Epithelial,Myeloid,APP,CD74,2.7976468,0.0,2.5850363,0.8441025608237,1.4747352919839214,0.07756928,0.9429499,0.06099893916618917,0.004344995628611922
CAFs,Myeloid,LGALS1,PTPRC,1.9726567,0.0,2.6457458,0.8127867019108307,1.5787927272133924,0.113325514,0.9435711,0.017688151342452645,0.004344995628611922
Plasmablasts,T-cells,HLA-B,CD3D,1.961715,0.0,3.8321114,0.9453259606340141,1.2075352583772836,0.09047654,0.9526609,0.034580699701898206,0.004786770526234075
CAFs,Myeloid,COL1A2,CD44,2.182485,0.0,2.4900858,0.9709584432306704,2.5602296534390976,0.24143054,0.94193494,0.00875119825065581,0.004786770526234075
Cancer Epithelial,Cancer Epithelial,LGALS9,SLC1A5,0.1620199,0.088,0.026225548,0.16715448283278975,-0.07510411450402621,0.052423388,0.62473685,0.7249075140448161,0.00497787532442014
CAFs,Endothelial,LGALS1,ITGB1,1.9547589,0.0,2.5351825,0.35101107832907613,0.6690346680445574,0.040883787,0.9424238,0.37667230614553787,0.005015545159718567
CAFs,Myeloid,COL1A1,CD44,2.1425037,0.0,2.4361281,0.9740442224669601,2.790699928219675,0.2554665,0.94133294,0.007156700594575786,0.005249570023077082
CAFs,Endothelial,COL1A2,CD93,2.168562,0.0,2.3873265,1.075852500265324,2.868102253397603,0.48538658,0.94077164,0.00015825297417265978,0.005983085828097144
CAFs,PVL,TIMP1,CD63,1.9403117,0.0,3.7646186,0.2646479562076996,0.79334101432524,0.050027803,0.9522585,0.22294895686400143,0.005983085828097144
CAFs,Endothelial,COL1A1,CD93,2.1285806,0.0,2.3355954,1.0789382795016138,3.09857252817818,0.5136053,0.94015837,0.0001352475850273974,0.00676363325607825
