source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Cancer Epithelial,PVL,MDK,SDC2,1.9279587,0.0,2.0978498,0.9135802742628202,1.9241773172238363,0.18109728,0.93706614,0.017688151342452645,0.009703023613128534
Cancer Epithelial,CAFs,MDK,LRP1,1.8786037,0.0,1.7819357,0.9445059165701672,1.9131024753245973,0.24767712,0.9320784,0.007769498771964479,0.01547398589993874
Cancer Epithelial,Endothelial,MDK,ITGA6_ITGB1,1.834678,0.0,1.500774,1.0233959322805257,1.9235479498470291,0.22788207,0.92643696,0.010560560360677661,0.024502359930722854
CAFs,Cancer Epithelial,MDK,NCL,1.3815547,0.0,1.3361243,0.7185069872156208,1.247725133389962,0.10303964,0.92237765,0.02162776794647476,0.05123307922207035
Cancer Epithelial,CAFs,MDK,SDC2,1.7750379,0.0,1.1190256,0.7269334155252541,1.1899122456814835,0.0966001,0.9157876,0.027011358069026613,0.07130096210644121
Cancer Epithelial,CAFs,MDK,SDC1,1.7401266,0.0,0.8955643,0.862740936018926,1.659519356143909,0.16721347,0.9067906,0.017688151342452645,0.1247154816671559
Cancer Epithelial,B-cells,MDK,NCL,1.7073668,0.0,0.68587357,0.7148257310172819,1.0452829715386533,0.052893408,0.894889,0.18857136599916163,0.2547582354377883
Myeloid,Cancer Epithelial,MDK,ITGA6_ITGB1,0.26783788,1.0,0.059298202,-0.20090443878602532,-1.1073237877636906,0.009004018,0.714558,1.0,0.488745435667904
CAFs,Cancer Epithelial,MDK,SDC4,1.1816825,0.0,0.48137552,0.5004160634157622,0.9703350590740333,0.068781845,0.8770364,0.09059400364016544,0.5800040630274966
CAFs,Cancer Epithelial,MDK,ITGA6_ITGB1,1.1472728,0.0,0.33422348,0.37029018188624585,0.6550567350555622,0.050749507,0.85597336,0.21394714077672605,0.5852354395552242
Myeloid,Cancer Epithelial,MDK,SDC1,0.2783914,1.0,0.06730552,-0.16182377817208837,-0.9844896989483194,0.012566813,0.72729814,1.0,0.6573534918638199
