source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CAFs,Cancer Epithelial,LUM,ITGB1,2.9806516,0.0,6.377883,0.960593889026416,2.6961296938669403,0.14970875,0.96291065,0.017688151342452645,1.1017058736419318e-05
Cancer Epithelial,T-cells,CD59,CD2,2.3652103,0.0,4.842017,1.5016312528021303,2.489599923620293,0.22143656,0.9576648,0.01141598632682796,0.0005374440564114868
CAFs,Cancer Epithelial,LGALS1,ITGB1,2.243112,0.0,4.316475,0.568738187064318,0.8725289002496923,0.06960992,0.95527357,0.08854386870445928,0.001206110111821288
Cancer Epithelial,Myeloid,APP,CD74,2.7976468,0.0,2.5850363,0.8441025608237,1.4747352919839214,0.07756928,0.9429499,0.06099893916618917,0.004344995628611922
Cancer Epithelial,PVL,MDK,SDC2,1.9279587,0.0,2.0978498,0.9135802742628202,1.9241773172238363,0.18109728,0.93706614,0.017688151342452645,0.009703023613128534
Cancer Epithelial,Endothelial,APP,CD74,2.2481995,0.0,2.026632,0.5853083037588804,0.7445179206069636,0.06081323,0.93604004,0.12648740025500985,0.010025368927137806
Myeloid,Cancer Epithelial,LGALS1,ITGB1,1.7801056,0.0,3.022381,0.31055701654335305,0.04560546373091601,0.04874063,0.9470115,0.5295821919714354,0.011714081907667259
PVL,Cancer Epithelial,LGALS1,ITGB1,1.7446957,0.0,2.923411,0.2908118786895366,0.1550918958109051,0.04714458,0.94616985,0.4141167935331162,0.013530540159274958
Plasmablasts,Cancer Epithelial,PKM,CD44,0.17189068,1.0,0.028479356,-0.2378362304029746,-1.2772161938959077,0.0031279055,0.63435036,1.0,0.014917099863024866
Cancer Epithelial,CAFs,MDK,LRP1,1.8786037,0.0,1.7819357,0.9445059165701672,1.9131024753245973,0.24767712,0.9320784,0.007769498771964479,0.01547398589993874
Cancer Epithelial,Plasmablasts,LGALS9,CD47,0.17480612,0.995,0.030496398,-0.13466457367564136,-0.7844467453584114,0.006664219,0.6422493,1.0,0.019878456222851733
Cancer Epithelial,Myeloid,COPA,CD74,2.6966023,0.0,1.5569818,0.8740652673292684,1.5760121663336955,0.08975668,0.92768013,0.03533999144173793,0.023510034257937726
Cancer Epithelial,Endothelial,MDK,ITGA6_ITGB1,1.834678,0.0,1.500774,1.0233959322805257,1.9235479498470291,0.22788207,0.92643696,0.010560560360677661,0.024502359930722854
CAFs,Cancer Epithelial,TIMP1,CD63,1.6003163,0.181,2.454618,0.0573888777030829,-0.17083905561620738,0.03261928,0.9415414,0.9976793198326692,0.02602778461548186
Cancer Epithelial,T-cells,APP,CD74,1.6406372,0.0,1.4091651,0.2991412694661859,0.009277153181100228,0.042284876,0.92426175,0.5861308701788486,0.028668252437676366
Cancer Epithelial,Myeloid,S100A8,CD68,1.5561638,0.0,2.4025319,1.5005712999204452,3.1142058971038518,0.3578518,0.9409483,0.00018307598691272138,0.0314306679429728
